"Commondity group,Year,Month,Value"
"Core infilation,2015,11,0.0830"
"Core infilation,2015,12,0.0000"
"Core infilation,2016,1,0.0000"
"Core infilation,2016,2,0.0741"
"Core infilation,2016,3,0.1422"
"Core infilation,2016,4,0.1990"
"Core infilation,2016,5,0.2390"
"Core infilation,2016,6,0.2600"
"Core infilation,2016,7,0.2600"
"Core infilation,2016,8,0.2390"
"Core infilation,2016,9,0.1990"
"Core infilation,2016,10,0.1422"
"Core infilation,2016,11,0.0741"
"Core infilation,2016,12,0.0000"
"Core infilation,2017,1,0.0000"
"Core infilation,2017,2,0.0572"
"Core infilation,2017,3,0.1095"
"Core infilation,2017,4,0.1535"
"Core infilation,2017,5,0.1845"
"Core infilation,2017,6,0.2007"
"Core infilation,2017,7,0.2007"
"Core infilation,2017,8,0.1845"
"Core infilation,2017,9,0.1535"
"Core infilation,2017,10,0.1095"
"Core infilation,2017,11,0.0572"
"Core infilation,2017,12,0.0000"
"Core infilation,2018,1,0.0000"
"Core infilation,2018,2,0.0600"
"Core infilation,2018,3,0.1150"
"Core infilation,2018,4,0.1610"
"Core infilation,2018,5,0.1938"
"Core infilation,2018,6,0.2107"
"Core infilation,2018,7,0.2107"
"Core infilation,2018,8,0.1938"
"Core infilation,2018,9,0.1610"
"Core infilation,2018,10,0.1150"
"Core infilation,2018,11,0.0600"
"Core infilation,2018,12,0.0000"
"Core infilation,2019,1,0.0000"
"Core infilation,2019,2,0.0814"
"Core infilation,2019,3,0.1562"
"Core infilation,2019,4,0.2187"
"Core infilation,2019,5,0.2627"
"Core infilation,2019,6,0.2861"
"Core infilation,2019,7,0.2861"
"Core infilation,2019,8,0.2627"
"Core infilation,2019,9,0.2187"
"Core infilation,2019,10,0.1562"
"Core infilation,2019,11,0.0814"
"Core infilation,2019,12,0.0000"
"Core infilation,2020,1,0.0000"
"Core infilation,2020,2,0.0936"
"Core infilation,2020,3,0.1796"
"Core infilation,2020,4,0.2513"
"Core infilation,2020,5,0.3021"
"Core infilation,2020,6,0.3290"
"Core infilation,2020,7,0.3290"
"Core infilation,2020,8,0.3021"
"Core infilation,2020,9,0.2513"
"Core infilation,2020,10,0.1796"
"Core infilation,2020,11,0.0936"
"Core infilation,2020,12,0.0000"
"Core infilation,2021,1,0.0000"
"Core infilation,2021,2,0.0329"
"Core infilation,2021,3,0.0629"
"Core infilation,2021,4,0.0881"
"Core infilation,2021,5,0.1059"
"Core infilation,2021,6,0.1153"
"Core infilation,2021,7,0.1153"
"Core infilation,2021,8,0.1059"
"Core infilation,2021,9,0.0881"
"Core infilation,2021,10,0.0629"
"Core infilation,2021,11,0.0329"
"Core infilation,2021,12,0.0000"
"Core infilation,2022,1,0.0000"
"Core infilation,2022,2,0.1049"
"Core infilation,2022,3,0.2012"
"Core infilation,2022,4,0.2820"
"Core infilation,2022,5,0.3391"
"Core infilation,2022,6,0.3688"
"Core infilation,2022,7,0.3688"
"Core infilation,2022,8,0.3391"
"Core infilation,2022,9,0.2820"
"Core infilation,2022,10,0.2012"
"Core infilation,2022,11,0.1049"
"Core infilation,2022,12,0.0000"
"Core infilation,2023,1,0.0000"
"Core infilation,2023,2,0.1685"
"Core infilation,2023,3,0.3231"
"Core infilation,2023,4,0.4523"
"Core infilation,2023,5,0.5439"
"Core infilation,2023,6,0.5920"
"Core infilation,2023,7,0.5920"
"Core infilation,2023,8,0.5439"
"Core infilation,2023,9,0.4523"
"Core infilation,2023,10,0.3231"
"Core infilation,2023,11,0.1685"
"Core infilation,2023,12,0.0000"
