date,price
2014-09,-0.582
2014-10,-0.004
2014-11,0.438
2014-12,-1.17
2015-01,-0.361
2015-02,-0.97
2015-03,-1.391
2015-04,0.148
2015-05,-1.239
2015-06,-0.14
2015-07,-0.49
2015-08,0.35
2015-09,-0.22
2015-10,0.5
2015-11,0.3
2015-12,-0.56
2016-01,0.765
2016-02,-0.19
2016-03,0.624
2016-04,0.277
2016-05,-0.177
2016-06,-0.017
2016-07,0.564
2016-08,0.573
2016-09,0.864
2016-10,-0.445
2016-11,-0.243
2016-12,-0.494
2017-01,1.154
2017-02,-2.044
2017-03,-1.104
2017-04,0.186
2017-05,-0.528
2017-06,-0.292
2017-07,0.266
2017-08,1.586
2017-09,1.101
2017-10,2.181
2017-11,0.596
2017-12,-0.234
2018-01,0.18
2018-02,0.294
2018-03,2.258
2018-04,1.163
2018-05,-0.814
2018-06,0.799
2018-07,-0.635
2018-08,2.2
2018-09,1.61
2018-10,0.77
2018-11,0.16
2018-12,0.108
2019-01,0.82
2019-02,-0.76
2019-03,1.63
2019-04,-0.55
2019-05,-1.29
2019-06,1.93
2019-07,0.043
2019-08,3.435
2019-09,1.608
2019-10,1.86
2019-11,1.45
2019-12,0.26
2020-01,-0.28
2020-02,2.28
2020-03,1.98
2020-04,-0.94
2020-05,1.01
2020-06,1.85
2020-07,2.78
2020-08,4.99
2020-09,2.96
2020-10,2.94
2020-11,0.55
2020-12,-0.25
2021-01,2.09
2021-02,-0.46
2021-03,1.2
2021-04,-1.24
2021-05,-2.07
2021-06,-0.56
2021-07,-1.25
2021-08,-1.3
2021-09,0.36
2021-10,2.74
2021-11,1.3
2021-12,2.97
2022-01,1.39
2022-02,-1.96
2022-03,2.05
2022-04,0.85
2022-05,-1.75
2022-06,0.61
2022-07,0.08
2022-08,3.86
2022-09,1.43
2022-10,2.47
2022-11,0.74
2022-12,1.74
2023-01,0.52
2023-02,2.81
2023-03,1.39
2023-04,2.66
2023-05,2.01
2023-06,3.09
2023-07,3.07
2023-08,3.44
2023-09,2.2
2023-10,2.73
2023-11,1.54
2023-12,2.06
2024-01,3.63
2024-02,1.38
2024-03,2.78
2024-04,1.11
2024-05,-0.45
2024-06,3.2
2024-07,2.36
2024-08,4.05
2024-09,2.29
2024-10,2.03
2024-11,1.06
2024-12,0.52
2025-01,3.03
