Commondity group,Year,Month,Value
GENERAL IMPORT PRICE INDEX,2020,3,8.4403
GENERAL IMPORT PRICE INDEX,2020,4,11.8128
GENERAL IMPORT PRICE INDEX,2020,5,14.2068
GENERAL IMPORT PRICE INDEX,2020,6,15.4269
GENERAL IMPORT PRICE INDEX,2020,7,15.4269
GENERAL IMPORT PRICE INDEX,2020,8,14.2068
GENERAL IMPORT PRICE INDEX,2020,9,11.8128
GENERAL IMPORT PRICE INDEX,2020,10,8.4403
GENERAL IMPORT PRICE INDEX,2020,11,4.3913
GENERAL IMPORT PRICE INDEX,2020,12,0.0000
GENERAL IMPORT PRICE INDEX,2021,1,0.0000
GENERAL IMPORT PRICE INDEX,2021,2,4.6397
GENERAL IMPORT PRICE INDEX,2021,3,8.8994
GENERAL IMPORT PRICE INDEX,2021,4,12.4414
GENERAL IMPORT PRICE INDEX,2021,5,14.9721
GENERAL IMPORT PRICE INDEX,2021,6,16.2833
GENERAL IMPORT PRICE INDEX,2021,7,16.2833
GENERAL IMPORT PRICE INDEX,2021,8,14.9721
GENERAL IMPORT PRICE INDEX,2021,9,12.4414
GENERAL IMPORT PRICE INDEX,2021,10,8.8994
GENERAL IMPORT PRICE INDEX,2021,11,4.6397
GENERAL IMPORT PRICE INDEX,2021,12,0.0000
GENERAL IMPORT PRICE INDEX,2022,1,0.0000
GENERAL IMPORT PRICE INDEX,2022,2,5.0313
GENERAL IMPORT PRICE INDEX,2022,3,9.6570
GENERAL IMPORT PRICE INDEX,2022,4,13.5160
GENERAL IMPORT PRICE INDEX,2022,5,16.2531
GENERAL IMPORT PRICE INDEX,2022,6,17.6695
GENERAL IMPORT PRICE INDEX,2022,7,17.6695
GENERAL IMPORT PRICE INDEX,2022,8,16.2531
GENERAL IMPORT PRICE INDEX,2022,9,13.5160
GENERAL IMPORT PRICE INDEX,2022,10,9.6570
GENERAL IMPORT PRICE INDEX,2022,11,5.0313
GENERAL IMPORT PRICE INDEX,2022,12,0.0000
GENERAL IMPORT PRICE INDEX,2023,1,0.0000
GENERAL IMPORT PRICE INDEX,2023,2,4.7979
GENERAL IMPORT PRICE INDEX,2023,3,9.2100
GENERAL IMPORT PRICE INDEX,2023,4,12.8967
GENERAL IMPORT PRICE INDEX,2023,5,15.4981
GENERAL IMPORT PRICE INDEX,2023,6,16.8254
GENERAL IMPORT PRICE INDEX,2023,7,16.8254
GENERAL IMPORT PRICE INDEX,2023,8,15.4981
GENERAL IMPORT PRICE INDEX,2023,9,12.8967
GENERAL IMPORT PRICE INDEX,2023,10,9.2100
GENERAL IMPORT PRICE INDEX,2023,11,4.7979
GENERAL IMPORT PRICE INDEX,2023,12,0.0000
